id,评论页码,评论id,评论时间,评论点赞数,评论者IP归属地,评论者姓名,评论者id,评论者性别,评论者关注数,评论者粉丝数,评论内容
4686743301259936,11,4686750133520014,2021-09-29 13:02:50,154,,相望江湖再见,2690376432,m,673,1159,可恶的资本家！那个公司己经背离了社会主义核心价值观！
4686743301259936,24,4686766445169453,2021-09-29 14:07:39,148,,InAndOutOfLove,1957090612,m,757,214,杭州那帮人太坏了
4686743301259936,71,4686845327705572,2021-09-29 19:21:06,65,,swayingjane,2470253834,m,135,190,人家是自己先火起来的，从拿手机拍开始
4686743301259936,38,4686787342238251,2021-09-29 15:30:40,61,,是麻麻喜欢的苹果头,7473640535,m,621,71,最近很多人说李子柒是演员公司打造什么的，真的好可笑，她明显是被粉丝捧红的吧……
4686743301259936,56,4686805213383996,2021-09-29 16:41:42,43,,沿海大通道边上的字拆了吗,5484874130,m,49,49,建议柳州市直接跟李子柒合作。
4686743301259936,91,4686931923568085,2021-09-30 01:05:12,39,,寰野ing,5800110301,f,827,223,公司法老师讲过李子柒的例子，告诉我们学好法律的重要性
4686743301259936,63,4686823206421038,2021-09-29 17:53:11,16,,我在成都飘,5590115901,m,71,274,资本的吃相有点难看
4686743301259936,14,4686759440943197,2021-09-29 13:39:49,18,,元气manman,3717291384,f,328,108,讲的很专业
4686743301259936,155,4687165588768874,2021-09-30 16:33:42,31,,月亮家的喵星人,2598325592,f,959,588,她当初开网店我就觉得变味了，东西好贵！原来是资本搞的鬼，这也太欺负人了。
4686743301259936,49,4686796724111191,2021-09-29 16:07:57,24,,篍声,1730557737,f,296,206,67% 51% 34%，控制权。一票否决。唉，资本的运作，闲人一窍不通。
4686743301259936,88,4686911002904215,2021-09-29 23:42:03,19,,500年前的一棵树,5995260860,m,120,8,资本的贪念太难看，还是真的经验不足，掉进资本的坑了
4686743301259936,62,4686821247681180,2021-09-29 17:45:24,14,,吉平祥安,2213227120,m,1104,497,支持李佳佳丶沉香里！
4683682508178808,30,4685682380900297,2021-09-26 14:19:58,2,,非常鱼块,2119702437,f,634,4317,太喜欢这样的说话方式.喜欢博主
4683682508178808,1,4683682658386615,2021-09-21 01:53:47,2,,小熊摔泥,5324289486,f,414,6,姐你还不睡呢中秋快乐哦！
4683682508178808,20,4683838934486925,2021-09-21 12:14:46,0,,stone_222,1918992112,m,404,222,qiao qiao是啥意思？
4683682508178808,13,4683785460778922,2021-09-21 08:42:17,1,,移舟听风雨,1167164682,f,481,456,开个公司签自己
4683682508178808,23,4683870907400736,2021-09-21 14:21:48,2,,周游列国,1617968962,m,1453,4676,我就一直想做自己的账号，不单纯是做金融，更多的是分享自己的生活，找到更多有共鸣的朋友。
4683682508178808,4,4683693132349888,2021-09-21 02:35:24,4,,冬妮婭-獻給成都,1803643684,f,202,99,现实中公主都是用来和亲和联姻用的
4683682508178808,31,4686323993284092,2021-09-28 08:49:30,0,,刘畅畅畅呀呀,5968263796,f,329,46,都是精华
4683682508178808,28,4685093152751998,2021-09-24 23:18:34,0,,拾闲燕,1779779627,f,213,369,讲得我好喜欢听
4683682508178808,27,4684619280547873,2021-09-23 15:55:34,0,,莲叶和田田,1885378514,f,1504,497,好喜欢听你讲
4683682508178808,26,4684362258581588,2021-09-22 22:54:16,0,,萌茶茶Beryl,5319531057,f,284,18,喜欢姐姐这些接地气，展示真实生活的博主，反倒不怎么看网红博主，除非在内容质量方面好的，比如李子柒……
4683682508178808,21,4683867337786518,2021-09-21 14:07:38,0,,盼姐不要胖,2438733034,f,379,111,
4683682508178808,18,4683821313689258,2021-09-21 11:04:45,0,,加辣红烧牛肉扁粉,6402930385,f,100,35,现在当博主限制可太多了……动不动什么言论就被狙，还容易违反什么条例被禁言炸号……
4683682508178808,17,4683816482639085,2021-09-21 10:45:33,0,,爱痒的Jules,1937523301,f,498,190,喜欢小姐姐
4683682508178808,16,4683816369128962,2021-09-21 10:45:06,0,,-山醪-,1940675480,f,259,209,原来如此 一直不知道她发生了什么事
4683682508178808,12,4683783570458547,2021-09-21 08:34:46,0,,DSNAKE_ELSIE,1913858114,f,372,229,这期视频有内容加油，越来越好
4683682508178808,9,4683743232525139,2021-09-21 05:54:29,0,,齿颊留香,1440072480,f,64,70,越来越喜欢博主了
4683682508178808,8,4683724425789529,2021-09-21 04:39:45,0,,红旗下的蛋1984,2183575577,m,1983,687,为啥把语速调那么快呢！
4683682508178808,5,4683697624711586,2021-09-21 02:53:15,0,,梧5慢慢,3943093391,f,180,330,就喜欢听你唠嗑又养眼还涨见识
4683682508178808,2,4683684755800406,2021-09-21 02:02:06,0,,·吹衣·,5066253982,f,528,98,幸亏半夜饿醒了让我前排看见姐姐的视频
4521945603973586,2,4521945758005019,2020-07-01 18:29:04,78,,梦游的浩浩,2251703381,m,203,70万,文化输出不是好事嘛，大家都学中国才好呢，先从免费开始
4521945603973586,11,4521946681013180,2020-07-01 18:32:45,34,,许宜涵,2639496135,m,229,590,关键李子柒视频有温度。不是模仿抄袭可以感受到的。只得其形未得其魂
4521945603973586,20,4521948757141023,2020-07-01 18:41:00,34,,时光讳莫成谜i,2400423957,f,1059,243,我觉着不算抄袭，农村生活题材又不是李专属的……
4521945603973586,39,4521963425528319,2020-07-01 19:39:16,16,,昆仑山勋爵,5278084514,m,213,406,李子柒看起来也不像是会干农活的样，她难道不是抄袭么？
4521945603973586,1,4521945746774025,2020-07-01 18:29:02,15,,外婆小镇的回忆,2500708681,m,456,1601,哪有心思搞原创，他们都挣快钱！
4521945603973586,36,4521960392192486,2020-07-01 19:27:13,7,,ray鹿鹿,2156045534,m,310,3377,我们的综艺节目也抄袭韩国啊。
4521945603973586,35,4521956751665666,2020-07-01 19:12:45,6,,领悟low,5151391502,m,37,247,腾讯这么多年模仿各种游戏 别人维权胜诉了吗？
4521945603973586,43,4521966277701056,2020-07-01 19:50:37,3,,1997Zzzsq,3819392555,m,654,101,题材当然可以模仿，但是视频的拍摄手法、镜头设计、服装等等都属于人家的知识产权，这么明显的抄袭难道不应该维权？
4521945603973586,5,4521945906047791,2020-07-01 18:29:40,2,,总ZOZO总,6574349400,m,521,2.4万,但是还是不行的，万一大家都来抄袭怎么办
4521945603973586,41,4521965636028650,2020-07-01 19:48:04,4,,木耳他爹,1713716333,m,832,1127,说得好像我们能上youtube似的
4521945603973586,17,4521948291532188,2020-07-01 18:39:08,3,,Terence梦游仙境,5724015247,f,172,116,反正大家都只承认李子柒
4521945603973586,26,4521951177547637,2020-07-01 18:50:36,4,,活不是一天能干完的,6356144499,m,415,158,维权就没必要了吧，我们好多产业都这样搞起来的，不能吃了饭就砸锅吧
