id,父级,评论页码,评论id,评论时间,评论点赞数,评论者IP归属地,评论者姓名,评论者id,评论者性别,评论者关注数,评论者粉丝数,评论内容
4785707983832954	,0	,34,4785721217647642	,2022-06-29 15:38:34,1,来自湖北,Cxj奇点敲股,1351452261,m,1196,9000,李子柒视频高质量，治愈人心！
4785707983832954	,4785715038129664	,0,4785808776888930	,2022-06-29 21:26:30,0,来自广东,古香古食龙哥,7606898843,m,7,8.8万,别人借你5000块钱不还，还让你再拿5000块，它一起还你一万，你不拿就不还你的钱了！
4785707983832954	,0	,18,4785715038129664	,2022-06-29 15:14:02,2,来自四川,钢琴谱分享2333,5642467341,f,31,8.8万,谁对谁错…局外人不可能清楚，就等法律来辨别谁对谁错，咱们普通人该吃吃、该喝喝，小板凳搬好。
4785707983832954	,0	,8,4785709212238819	,2022-06-29 14:50:53,0,来自湖北,李政_16356,3921854666,m,91,51,李子琪妈应该没什么问题吧？
4785707983832954	,0	,4,4785708998856438	,2022-06-29 14:50:02,5,来自河南,梨花飘满花满楼,2763696912,f,411,105,这是发生了什么事情呀
4792914813387718	,4792934505122365	,0,4792970719270938	,2022-07-19 15:45:31,0,来自上海,狸奴miao,6343740779,f,216,13.4万,吃过，现在还吃，而且个人觉得很好吃
4792914813387718	,4792934505122365	,0,4792971122442955	,2022-07-19 15:47:06,0,来自四川,从前从前有个人爱你很久2013,7327855500,m,127,13.4万,之前买的还没吃完
4792914813387718	,0	,137,4792934505122365	,2022-07-19 13:21:37,24,来自河北,2的很有范儿-,1895938705,f,1146,13.4万,你们都吃过李子柒的螺狮粉吗？
4792914813387718	,4792922451740657	,0,4792927962271260	,2022-07-19 12:55:37,0,来自北京,谁的bunny酱,6474423096,f,81,4,一个输出中国文化的人，远比你说的螺蛳粉意义重大
4792914813387718	,4792922451740657	,0,4792971142627414	,2022-07-19 15:47:11,0,来自山东,我是夢琳同學,3290809737,f,171,4,suansh算是网络发达时代靠自己发家致富的红人吧
4792914813387718	,0	,125,4792922451740657	,2022-07-19 12:33:43,3,来自河北,汎1995FunFairFuture,6597713782,f,46,4,李子柒是谁？网红吗
4792914813387718	,4792921730323164	,0,4792930701935214	,2022-07-19 13:06:29,0,来自河南,六个月的梦,7737406120,f,51,645,没有了，名字是别人的了
4792914813387718	,4792921730323164	,0,4792924229862343	,2022-07-19 12:40:46,0,来自上海,阿路1124,2378985845,m,360,645,李佳佳打造了李子柒也享有部分所有权呢？
4792914813387718	,0	,120,4792921730323164	,2022-07-19 12:30:51,11,来自上海,阿路1124,2378985845,m,360,645,想知道微念注册商标李子柒，是不是就和李佳佳没有关系了？还是说李子柒打造了网红李子柒账号也享有一部分所有权呢？
4792914813387718	,0	,112,4792915686065383	,2022-07-19 12:06:50,124,来自河北,印象1949,7313193088,f,28,3,真的很喜欢她的视频，之前她出的每期必追，争论我不懂，只知道她的视频看的很舒服，也是一种文化输出，希望早日回归。
4792914813387718	,4792922714673437	,0,4792930495630222	,2022-07-19 13:05:40,0,来自河南,六个月的梦,7737406120,f,51,1.3万,她视频很好呀，宣传中国文化，这个名字之前就不属于她了 因为资本，
4792914813387718	,4792922714673437	,0,4793325498140066	,2022-07-20 15:15:16,0,来自山西,午餐用,7375139291,f,315,1.3万,太下头了吧你这评论
4792914813387718	,0	,126,4792922714673437	,2022-07-19 12:34:46,10,来自河北,陆地战小虎,6328847008,m,233,1.3万,她怎么了？从一开始就不喜欢她的视频
4792914813387718	,4792922371525791	,0,4792928386159736	,2022-07-19 12:57:18,0,来自四川,是划水大王呢,1724591267,m,38,122,也用不着你这杆枪
4792914813387718	,4792922371525791	,0,4792931741598709	,2022-07-19 13:10:37,0,来自河南,若girasol,2171081465,f,1100,122,对，本质应该是这个问题
4792914813387718	,0	,124,4792922371525791	,2022-07-19 12:33:24,13,来自浙江,好大一只甘蔗鱼,5389497001,m,282,122,利益分配问题，照理说背后营销用了不少钱，营销公司确实得多拿，但不知道他们到底咋分配，所以不做评价，不给任何一方当枪使。
4792914813387718	,0	,123,4792922236782162	,2022-07-19 12:32:52,5,来自河北,音娱妞妞,7349245831,f,186,12万,李子柒怎么了？
4792914813387718	,4792915391942712	,0,4792930532853693	,2022-07-19 13:05:49,0,来自河南,六个月的梦,7737406120,f,51,68,因为资本
4792914813387718	,4792915391942712	,0,4792973167952867	,2022-07-19 15:55:14,0,来自山东,V超时空蓝染V,6753349785,m,213,68,因为被骗了，和公司签了合同肖像权视频啥的都不属于她了。。。现在在打官司。没办法，感觉还是太单纯了。。。
4792914813387718	,0	,1,4792915391942712	,2022-07-19 12:05:40,13,来自河北,姗姗来迟吖-,1803962235,f,159,68,之前好喜欢看李子柒 不明白为什么不更了？
4792914813387718	,0	,121,4792921977787555	,2022-07-19 12:31:50,0,来自河北,吃瓜群众吖-,7222597846,m,31,7,
